study_hours,attendance,previous_score,extra_activities,result
3.0,75.7,64.0,Yes,Fail
7.6,65.2,46.8,Yes,Pass
5.9,100.0,55.2,Yes,Pass
4.8,84.5,65.7,Yes,Pass
1.2,44.6,52.1,No,Fail
1.2,77.8,59.2,No,Fail
0.5,65.1,80.1,Yes,Fail
6.9,87.8,56.3,No,Pass
4.8,63.1,77.5,Yes,Pass
5.7,73.3,48.1,No,Fail
0.2,82.6,72.9,No,Fail
7.8,88.0,86.6,Yes,Pass
6.7,57.0,27.9,No,Fail
1.7,70.0,53.0,No,Fail
1.5,67.9,73.7,No,Fail
1.5,65.2,62.0,No,Fail
2.4,100.0,70.6,No,Pass
4.2,81.1,55.9,Yes,Fail
3.5,56.1,66.3,No,Fail
2.3,88.8,62.7,Yes,Fail
4.9,100.0,82.5,No,Pass
1.1,90.5,68.8,No,Fail
2.3,52.2,70.1,No,Fail
2.9,67.7,58.8,No,Fail
3.6,94.0,57.7,Yes,Pass
6.3,64.4,58.5,Yes,Pass
1.6,81.7,70.9,Yes,Fail
4.1,86.6,58.7,Yes,Pass
4.7,61.1,69.3,No,Pass
0.4,74.1,96.1,Yes,Fail
4.9,40.0,78.1,Yes,Pass
1.4,59.6,60.1,No,Fail
0.5,71.2,83.0,No,Fail
7.6,56.3,58.9,No,Pass
7.7,99.5,34.4,No,Pass
6.5,53.5,49.9,Yes,Pass
2.4,68.4,36.9,Yes,Fail
0.8,77.0,59.7,No,Fail
5.5,96.6,65.3,No,Pass
3.5,53.5,90.1,Yes,Pass
1.0,92.4,69.9,No,Fail
4.0,75.2,61.7,Yes,Fail
0.3,60.3,77.4,Yes,Fail
7.3,81.9,31.8,No,Pass
2.1,78.0,68.5,No,Fail
5.3,66.0,76.6,No,Fail
2.5,76.0,42.8,Yes,Fail
4.2,69.2,82.2,No,Pass
4.4,76.7,70.1,Yes,Pass
1.5,84.9,58.8,Yes,Fail
7.8,98.8,74.5,No,Pass
6.2,56.4,99.1,No,Pass
7.5,100.0,67.7,No,Pass
7.2,45.7,68.7,No,Pass
4.8,72.7,58.1,No,Fail
7.4,83.8,52.3,No,Pass
0.7,79.2,77.5,Yes,Fail
1.6,65.7,52.2,No,Fail
0.4,71.9,66.1,Yes,Fail
2.6,67.6,57.8,Yes,Fail
3.1,66.2,72.2,No,Pass
2.2,87.7,70.0,No,Fail
6.6,80.4,80.6,Yes,Pass
2.9,64.6,57.3,Yes,Fail
2.2,88.5,61.0,No,Fail
4.3,79.6,50.3,Yes,Pass
1.1,87.2,58.3,No,Fail
6.4,84.4,70.7,No,Pass
0.6,62.6,76.4,No,Fail
7.9,66.6,51.2,No,Pass
6.2,86.2,78.0,No,Pass
1.6,84.2,85.3,Yes,Fail
0.0,74.7,71.2,No,Fail
6.5,76.8,93.2,No,Pass
5.7,94.2,53.4,Yes,Pass
5.8,66.1,46.3,No,Pass
6.2,83.2,38.3,No,Pass
0.6,72.0,87.4,No,Fail
2.9,71.7,74.8,No,Fail
0.9,91.5,64.2,No,Fail
6.9,87.4,69.2,No,Pass
5.0,87.2,48.1,No,Fail
2.6,94.6,100.0,No,Pass
0.5,75.3,66.9,No,Fail
2.5,85.2,66.6,No,Fail
2.6,70.3,75.9,No,Pass
5.8,79.9,72.2,Yes,Pass
5.1,73.0,68.4,No,Pass
7.1,76.5,53.1,No,Pass
3.8,83.9,72.1,Yes,Pass
1.0,62.7,93.2,No,Fail
5.7,100.0,85.2,Yes,Pass
6.1,59.9,88.9,Yes,Pass
4.5,56.8,57.3,No,Fail
6.2,92.4,50.2,Yes,Pass
4.0,86.9,63.1,No,Fail
4.2,84.4,65.8,No,Fail
3.4,84.4,81.4,No,Fail
0.2,74.8,39.6,Yes,Fail
0.9,61.5,87.9,Yes,Fail
0.3,76.1,62.6,No,Fail
5.1,64.8,58.6,No,Pass
2.5,89.6,49.8,No,Fail
4.1,72.8,40.2,Yes,Fail
7.3,62.6,77.3,No,Pass
2.0,70.2,66.1,No,Pass
3.3,81.2,45.7,No,Fail
6.0,66.5,45.6,Yes,Fail
1.8,62.7,60.0,No,Fail
0.6,78.7,90.0,No,Pass
2.3,78.7,61.1,No,Fail
1.3,67.4,42.5,Yes,Fail
7.4,67.9,61.3,No,Pass
6.5,78.5,60.9,No,Pass
5.1,53.3,24.5,Yes,Fail
7.0,53.9,64.2,No,Pass
6.4,64.2,61.5,No,Pass
1.5,71.8,75.4,Yes,Fail
7.1,79.7,92.7,Yes,Pass
4.3,97.1,81.9,No,Pass
6.5,87.9,61.0,Yes,Pass
7.2,72.6,48.4,No,Pass
2.5,74.7,100.0,Yes,Pass
0.9,60.0,65.9,No,Fail
1.8,74.7,65.2,Yes,Fail
3.4,70.7,64.6,No,Pass
6.5,79.8,68.0,No,Pass
6.9,62.6,62.8,No,Pass
0.1,82.8,56.4,No,Fail
4.1,98.0,56.8,Yes,Pass
3.3,73.4,64.5,No,Fail
1.8,81.0,56.8,Yes,Fail
1.0,85.4,54.3,Yes,Fail
2.7,69.0,66.6,Yes,Fail
7.5,78.4,61.2,No,Pass
2.6,75.2,87.6,No,Fail
4.2,76.5,25.2,No,Fail
5.6,63.4,81.4,No,Pass
2.9,75.4,83.7,Yes,Fail
7.8,82.5,33.9,No,Pass
7.7,96.8,59.9,No,Pass
2.0,89.4,59.4,No,Fail
4.0,100.0,43.9,Yes,Pass
2.4,63.5,53.3,No,Fail
2.3,88.1,48.3,No,Fail
0.3,77.8,91.3,Yes,Fail
4.9,100.0,79.0,Yes,Pass
4.0,62.9,84.1,No,Pass
0.4,62.4,75.8,No,Fail
2.2,66.0,48.1,Yes,Fail
7.3,43.1,57.1,No,Fail
1.9,67.1,72.3,Yes,Fail
1.2,63.6,46.7,No,Fail
3.9,77.3,75.7,No,Pass
7.9,80.1,61.4,No,Pass
1.9,100.0,59.4,No,Fail
5.4,89.3,75.7,Yes,Pass
6.1,66.3,71.7,Yes,Pass
1.9,61.5,59.6,No,Fail
5.8,82.4,82.4,No,Pass
