age,gender,attendance_percentage,weekly_study_hours,previous_grade,internet_access,parent_education,family_support,failures,final_score,grade
17,Male,98.5,5.8,48.6,Yes,Bachelors,Yes,0,54.5,D
18,Female,74.0,5.8,77.5,Yes,High School,Yes,0,89.3,A
15,Female,66.7,5.1,78.7,No,Masters,Yes,1,55.1,C
17,Female,100.0,4.0,41.8,Yes,Masters,No,0,46.2,D
17,Male,53.3,5.7,88.8,Yes,Bachelors,No,1,58.3,C
18,Female,42.0,5.5,73.6,No,High School,Yes,1,45.1,D
15,Male,81.6,3.1,86.0,Yes,Bachelors,No,0,59.3,C
15,Female,67.5,2.6,44.9,Yes,Masters,Yes,3,28.3,F
17,Male,59.7,4.3,44.5,Yes,High School,Yes,1,24.1,F
16,Male,85.6,7.9,62.8,No,High School,No,2,42.3,D
17,Male,,,72.5,No,Masters,Yes,1,24.7,F
17,Female,66.5,0.3,91.9,Yes,High School,Yes,2,24.3,F
17,Female,55.8,4.4,75.6,Yes,Masters,Yes,0,72.1,B
17,Female,88.1,4.1,61.4,Yes,Bachelors,No,0,71.9,B
18,Female,84.8,4.4,49.6,Yes,Bachelors,Yes,2,40.3,D
15,Male,73.5,4.6,83.5,Yes,High School,No,0,74.8,B
18,Female,100.0,3.4,50.5,No,Masters,No,0,52.5,D
18,Female,58.9,7.7,89.4,Yes,High School,Yes,1,57.4,C
18,Male,52.1,0.0,60.7,Yes,Bachelors,No,1,23.0,F
17,Male,64.6,1.9,88.9,Yes,Bachelors,Yes,0,54.4,D
16,Male,74.3,3.7,75.2,Yes,Bachelors,Yes,2,42.1,D
15,Female,78.7,,62.9,Yes,PhD,No,1,49.3,D
16,Male,71.4,3.6,57.2,Yes,Bachelors,No,0,47.4,D
18,Male,80.3,8.2,59.9,No,High School,Yes,1,62.1,C
18,Male,56.2,4.1,71.4,No,PhD,Yes,0,61.6,C
16,Female,96.7,4.6,66.2,Yes,Bachelors,Yes,0,70.5,B
16,Male,73.8,0.8,56.1,No,High School,Yes,0,29.1,F
16,Female,91.8,2.5,62.5,Yes,High School,Yes,0,42.6,D
18,Female,80.1,3.1,66.2,Yes,Masters,Yes,0,59.0,C
18,Male,81.9,3.2,33.1,Yes,High School,No,1,28.5,F
15,Male,83.5,7.2,71.9,Yes,Bachelors,Yes,1,64.0,C
15,Female,81.7,5.4,50.3,No,Bachelors,Yes,0,53.2,D
18,Male,84.6,1.2,47.7,Yes,High School,No,1,57.0,C
16,Male,94.9,4.6,39.7,Yes,Bachelors,No,0,38.3,F
16,Female,77.9,5.2,38.1,Yes,High School,Yes,0,27.5,F
15,Female,85.6,6.9,44.7,Yes,Bachelors,Yes,2,47.8,D
18,Male,73.7,8.0,54.4,Yes,Bachelors,No,0,53.8,D
15,Female,96.6,1.5,94.3,Yes,Bachelors,Yes,0,73.4,B
15,Male,64.9,2.0,57.1,Yes,Bachelors,Yes,1,40.9,D
17,Male,100.0,0.9,67.7,Yes,Masters,No,0,69.5,C
17,Male,74.4,3.4,71.0,Yes,Masters,Yes,2,28.9,F
17,Female,53.5,5.2,67.0,Yes,High School,Yes,0,43.2,D
16,Male,76.9,6.5,63.8,Yes,High School,Yes,0,64.7,C
18,Male,64.8,3.8,47.1,Yes,Bachelors,Yes,0,50.5,D
18,Male,87.6,3.2,86.8,Yes,Masters,Yes,0,90.8,A
18,Female,65.2,4.4,92.1,Yes,Masters,No,0,71.2,B
18,Female,68.3,1.9,39.8,Yes,Masters,Yes,0,37.7,F
17,Female,46.7,9.2,49.6,No,High School,Yes,2,23.5,F
16,Female,68.2,0.0,60.8,Yes,Bachelors,Yes,2,20.3,F
16,Female,38.6,4.5,50.5,Yes,Bachelors,No,0,25.9,F
17,Male,51.2,9.1,72.6,No,High School,Yes,0,64.2,C
16,Female,86.4,4.0,54.1,Yes,High School,Yes,0,56.3,C
17,Female,86.8,3.5,97.5,Yes,Masters,No,2,43.8,D
18,Female,81.4,3.1,82.9,Yes,High School,Yes,3,35.6,F
17,Male,60.5,3.5,68.2,No,High School,Yes,0,53.6,D
18,Female,74.3,7.4,80.4,No,High School,Yes,1,62.6,C
18,Female,74.9,0.0,81.6,Yes,Masters,Yes,0,59.1,C
15,Male,57.6,7.8,56.5,Yes,Bachelors,Yes,0,58.3,C
17,Female,97.6,0.4,52.8,Yes,Bachelors,No,0,62.4,C
15,Male,88.2,3.3,66.2,No,Masters,Yes,0,61.3,C
17,Male,71.7,2.9,77.9,No,High School,Yes,0,48.6,D
17,Male,75.4,5.5,67.1,Yes,Bachelors,Yes,0,51.6,D
15,Male,78.1,0.0,41.3,Yes,High School,Yes,1,29.5,F
15,Male,44.4,5.2,53.0,Yes,High School,Yes,0,15.3,F
17,Female,71.3,9.1,63.9,Yes,Masters,No,0,63.4,C
16,Male,64.8,0.6,63.9,Yes,Masters,Yes,0,41.5,D
18,Male,60.0,4.5,94.6,Yes,High School,No,0,44.3,D
15,Female,70.8,2.3,44.2,Yes,High School,Yes,0,29.6,F
18,Male,100.0,,72.6,Yes,Bachelors,Yes,0,79.9,B
16,Female,84.6,4.0,87.3,No,High School,Yes,0,66.9,C
16,Female,66.4,2.4,99.1,Yes,High School,Yes,0,61.1,C
16,Female,83.6,5.2,58.9,Yes,High School,Yes,0,60.8,C
15,Male,96.0,8.5,72.4,Yes,High School,Yes,0,78.5,B
16,Male,88.9,3.5,73.5,No,Masters,No,1,64.1,C
15,Male,75.9,5.8,67.9,Yes,High School,Yes,1,54.0,D
16,Female,65.3,0.8,63.5,Yes,High School,Yes,0,26.3,F
18,Male,85.5,1.6,71.5,Yes,Bachelors,Yes,0,72.0,B
18,Male,80.9,5.2,27.0,Yes,Masters,Yes,0,50.5,D
17,Male,88.4,7.7,75.2,Yes,High School,Yes,0,67.7,C
18,Female,84.5,4.9,66.9,Yes,High School,Yes,0,48.7,D
17,Female,90.7,3.2,61.7,No,High School,Yes,0,58.2,C
18,Male,67.0,4.0,95.7,Yes,Bachelors,No,0,60.3,C
15,Male,94.8,0.9,54.9,Yes,Bachelors,No,2,48.4,D
